Numero	mpg	displacement	horsepower	weight	acceleration	origin
1	35	72	69	1613	18	japanese
2	31	76	52	1649	17	japanese
3	39	79	58	1755	17	japanese
4	35	81	60	1760	16	japanese
5	31	71	65	1773	19	japanese
6	33	91	53	1795	18	japanese
7	33	91	53	1795	17	japanese
8	36	98	66	1800	14	american
9	36	91	60	1800	16	japanese
10	30	97	71	1825	12	european
11	36	79	58	1825	19	european
12	27	97	60	1834	19	european
13	26	97	46	1835	21	european
14	32	71	65	1836	21	japanese
15	30	89	62	1845	15	european
16	45	91	67	1850	14	japanese
17	29	68	49	1867	20	european
18	39	86	64	1875	16	american
19	36	98	80	1915	14	american
20	32	89	71	1925	14	european
21	29	90	70	1937	14	european
22	29	90	70	1937	14	european
23	29	97	78	1940	15	european
24	34	85	70	1945	17	japanese
25	26	97	46	1950	21	european
26	31	79	67	1950	19	japanese
27	26	91	70	1955	21	american
28	26	79	67	1963	16	european
29	38	91	67	1965	15	japanese
30	32	91	67	1965	16	japanese
31	38	89	60	1968	19	japanese
32	31	91	68	1970	18	japanese
33	34	86	65	1975	15	japanese
34	37	85	65	1975	19	japanese
35	36	105	74	1980	15	european
36	43	90	48	1985	22	european
37	30	97	67	1985	16	japanese
38	33	78	52	1985	19	japanese
39	34	91	68	1985	16	japanese
40	32	89	71	1990	15	european
41	32	85	70	1990	17	japanese
42	38	91	67	1995	16	japanese
43	31	79	67	2000	16	european
44	32	83	61	2003	19	japanese
45	37	86	65	2019	16	japanese
46	32	85	65	2020	19	japanese
47	37	91	68	2025	18	japanese
48	29	85	52	2035	22	american
49	34	98	65	2045	16	american
50	32	98	68	2045	19	japanese
51	38	89	62	2050	17	japanese
52	31	98	63	2051	17	american
53	30	88	76	2065	15	european
54	32	97	67	2065	18	japanese
55	39	85	70	2070	19	japanese
56	30	79	70	2074	20	european
57	34	98	83	2075	16	american
58	44	90	48	2085	22	european
59	27	97	88	2100	17	japanese
60	24	90	75	2108	16	european
61	47	86	65	2110	18	japanese
62	41	85	65	2110	19	japanese
63	32	98	70	2120	16	american
64	28	116	90	2123	14	european
65	18	70	90	2124	14	japanese
66	28	90	75	2125	15	american
67	38	105	63	2125	15	american
68	36	98	70	2125	17	american
69	25	97	80	2126	17	american
70	37	91	69	2130	15	european
71	44	97	52	2130	25	european
72	27	97	88	2130	15	japanese
73	27	97	88	2130	15	japanese
74	30	98	68	2135	17	japanese
75	42	98	76	2144	15	european
76	34	97	67	2145	18	japanese
77	35	105	70	2150	15	american
78	30	111	80	2155	15	american
79	30	98	68	2155	17	american
80	28	97	75	2155	16	japanese
81	24	116	75	2158	16	european
82	36	120	88	2160	15	japanese
83	28	98	80	2164	15	american
84	25	98	60	2164	22	american
85	29	97	75	2171	16	japanese
86	34	97	78	2188	16	european
87	26	96	69	2189	18	european
88	31	97	78	2190	14	european
89	33	105	74	2190	14	european
90	34	105	70	2200	13	american
91	27	101	83	2202	15	european
92	36	107	75	2205	15	japanese
93	34	107	75	2210	14	japanese
94	35	105	63	2215	15	american
95	29	98	83	2219	17	european
96	23	122	86	2220	14	american
97	25	116	81	2220	17	european
98	25	90	71	2223	17	european
99	21	122	86	2226	17	american
100	25	113	95	2228	14	japanese
101	31	105	75	2230	15	american
102	26	121	113	2234	13	european
103	34	108	70	2245	17	japanese
104	26	116	75	2246	14	european
105	23	97	54	2254	24	european
106	26	98	79	2255	18	american
107	28	140	90	2264	16	american
108	26	98	90	2265	16	european
109	26	97	75	2265	18	japanese
110	32	108	75	2265	15	japanese
111	24	113	95	2278	16	japanese
112	20	97	88	2279	19	japanese
113	28	97	92	2288	17	japanese
114	32	107	72	2290	17	japanese
115	32	135	84	2295	12	american
116	26	122	96	2300	16	american
117	26	97	78	2300	15	european
118	27	119	97	2300	15	japanese
119	19	122	85	2310	19	american
120	19	70	97	2330	14	japanese
121	43	90	48	2335	24	european
122	32	108	75	2350	17	japanese
123	36	135	84	2370	13	american
124	24	113	95	2372	15	japanese
125	25	104	95	2375	18	european
126	22	108	94	2379	17	japanese
127	30	98	65	2380	21	american
128	30	135	84	2385	13	american
129	26	108	93	2391	16	japanese
130	22	122	86	2395	16	american
131	34	112	88	2395	18	american
132	21	140	72	2401	20	american
133	24	119	97	2405	15	japanese
134	22	140	72	2408	19	american
135	20	140	90	2408	20	american
136	24	70	100	2420	13	japanese
137	24	107	90	2430	15	european
138	37	119	92	2434	15	japanese
139	26	122	80	2451	17	american
140	28	107	86	2464	16	european
141	21	155	107	2472	14	american
142	24	120	97	2489	15	japanese
143	27	135	84	2490	16	american
144	35	122	88	2500	15	european
145	23	120	97	2506	15	japanese
146	22	121	76	2511	18	european
147	21	134	95	2515	15	japanese
148	29	135	84	2525	16	american
149	25	140	75	2542	17	american
150	31	120	75	2542	18	japanese
151	24	119	97	2545	17	japanese
152	34	151	90	2556	13	american
153	28	134	95	2560	14	japanese
154	27	140	72	2565	14	american
155	25	140	92	2572	15	american
156	31	112	85	2575	16	american
157	20	114	91	2582	14	european
158	26	156	92	2585	15	american
159	21	200	85	2587	16	american
160	23	140	78	2592	19	american
161	29	173	115	2595	11	american
162	22	121	110	2600	13	european
163	28	112	88	2605	20	american
164	33	119	100	2615	15	japanese
165	26	156	92	2620	14	american
166	28	120	79	2625	19	american
167	19	232	100	2634	13	american
168	27	151	84	2635	16	american
169	32	120	74	2635	18	japanese
170	23	140	83	2639	17	american
171	27	112	88	2640	19	american
172	21	199	90	2648	15	american
173	24	121	110	2660	14	european
174	32	144	96	2665	14	japanese
175	27	121	80	2670	15	american
176	28	151	90	2670	16	american
177	25	121	115	2671	14	european
178	25	110	87	2672	18	european
179	28	151	90	2678	17	american
180	23	115	95	2694	15	european
181	27	173	115	2700	13	american
182	24	134	96	2702	14	japanese
183	30	134	90	2711	16	japanese
184	25	140	88	2720	15	american
185	31	119	82	2720	19	american
186	22	80	110	2720	14	japanese
187	24	173	110	2725	13	american
188	27	151	90	2735	18	american
189	25	151	88	2740	16	american
190	23	156	105	2745	17	american
191	26	140	89	2755	16	american
192	18	199	97	2774	16	american
193	18	232	100	2789	15	american
194	27	140	86	2790	16	american
195	22	121	115	2795	16	european
196	28	156	105	2800	14	american
197	20	156	122	2807	14	japanese
198	22	146	97	2815	15	japanese
199	20	131	103	2830	16	european
200	22	198	95	2833	16	american
201	22	232	112	2835	15	american
202	24	151	85	2855	18	american
203	24	140	92	2865	16	american
204	19	121	112	2868	16	european
205	26	140	88	2870	18	american
206	22	140	88	2890	17	american
207	25	168	116	2900	13	japanese
208	19	232	100	2901	16	american
209	23	198	95	2904	16	american
210	33	168	132	2910	11	japanese
211	20	232	100	2914	16	american
212	19	156	108	2930	16	japanese
213	24	146	120	2930	14	japanese
214	18	121	112	2933	15	european
215	18	232	100	2945	16	american
216	25	181	110	2945	16	american
217	22	121	98	2945	15	european
218	27	151	90	2950	17	american
219	36	121	67	2950	20	european
220	23	120	88	2957	17	european
221	18	258	110	2962	14	american
222	20	200	85	2965	16	american
223	21	120	87	2979	20	european
224	18	171	97	2984	15	american
225	20	200	85	2990	18	american
226	24	151	90	3003	20	american
227	24	200	81	3012	18	american
228	38	262	85	3015	17	american
229	18	250	88	3021	17	american
230	21	231	110	3039	15	american
231	20	200	88	3060	17	american
232	21	200	85	3070	17	american
233	23	232	90	3085	18	american
234	14	455	225	3086	10	american
235	20	198	95	3102	17	american
236	18	225	105	3121	17	american
237	18	250	88	3139	15	american
238	17	163	125	3140	14	european
239	20	130	102	3150	16	european
240	21	200	95	3155	18	american
241	15	250	72	3158	20	american
242	31	145	76	3160	20	european
243	13	302	129	3169	12	american
244	27	141	71	3190	25	european
245	18	258	95	3193	18	american
246	18	302	139	3205	11	american
247	19	232	90	3210	17	american
248	19	232	90	3211	17	american
249	20	262	110	3221	14	american
250	28	141	80	3230	20	european
251	22	225	100	3233	15	american
252	22	231	115	3245	15	american
253	30	146	67	3250	22	european
254	19	225	95	3264	16	american
255	20	232	90	3265	18	american
256	19	120	88	3270	22	european
257	16	250	100	3278	18	american
258	19	250	100	3282	15	american
259	18	232	100	3288	16	american
260	19	250	88	3302	16	american
261	17	250	100	3329	16	american
262	15	250	100	3336	17	american
263	22	250	105	3353	15	american
264	21	225	110	3360	17	american
265	20	260	110	3365	16	american
266	21	231	105	3380	16	american
267	19	225	90	3381	19	american
268	15	318	150	3399	11	american
269	18	258	120	3410	15	american
270	16	163	133	3410	16	european
271	22	231	110	3415	16	american
272	24	260	90	3420	22	american
273	21	231	105	3425	17	american
274	19	305	145	3425	13	american
275	21	225	100	3430	17	american
276	15	250	72	3432	21	american
277	16	304	150	3433	12	american
278	18	318	150	3436	11	american
279	16	225	105	3439	16	american
280	18	231	165	3445	13	american
281	17	302	140	3449	11	american
282	18	250	105	3459	16	american
283	18	225	85	3465	17	american
284	18	307	130	3504	12	american
285	18	250	110	3520	16	american
286	19	250	98	3525	19	american
287	25	183	77	3530	20	european
288	19	231	105	3535	19	american
289	15	383	170	3563	10	american
290	20	302	139	3570	13	american
291	18	250	78	3574	21	american
292	19	267	125	3605	15	american
293	14	340	160	3609	8	american
294	18	225	105	3613	17	american
295	19	225	110	3620	19	american
296	19	225	100	3630	18	american
297	16	258	110	3632	18	american
298	19	250	110	3645	16	american
299	20	225	100	3651	18	american
300	11	350	180	3664	11	american
301	17	304	150	3672	12	american
302	14	304	150	3672	12	american
303	15	350	165	3693	12	american
304	18	302	129	3725	13	american
305	27	350	105	3725	19	american
306	15	258	110	3730	19	american
307	19	318	140	3735	13	american
308	13	318	150	3755	14	american
309	15	400	150	3761	10	american
310	15	318	150	3777	13	american
311	16	250	100	3781	17	american
312	18	225	95	3785	19	american
313	17	168	120	3820	17	european
314	13	360	175	3821	11	american
315	18	318	135	3830	15	american
316	17	305	130	3840	15	american
317	15	390	190	3850	9	american
318	13	302	130	3870	15	american
319	18	305	145	3880	13	american
320	15	304	150	3892	13	american
321	16	250	105	3897	19	american
322	23	350	125	3900	17	american
323	17	231	110	3907	21	american
324	13	318	150	3940	13	american
325	19	360	150	3940	13	american
326	17	351	138	3955	13	american
327	16	304	120	3962	14	american
328	13	350	145	3988	13	american
329	14	302	137	4042	15	american
330	16	351	142	4054	14	american
331	13	350	145	4055	12	american
332	17	260	110	4060	19	american
333	14	318	150	4077	14	american
334	18	318	140	4080	14	american
335	15	350	145	4082	13	american
336	14	318	150	4096	13	american
337	13	307	130	4098	14	american
338	13	350	175	4100	13	american
339	14	351	153	4129	13	american
340	15	318	150	4135	14	american
341	16	318	145	4140	14	american
342	16	302	140	4141	14	american
343	14	351	153	4154	14	american
344	16	350	170	4165	11	american
345	16	318	150	4190	13	american
346	14	350	165	4209	12	american
347	18	305	140	4215	13	american
348	15	351	152	4215	13	american
349	16	400	180	4220	11	american
350	14	318	150	4237	15	american
351	14	304	150	4257	16	american
352	13	350	165	4274	12	american
353	16	400	230	4278	10	american
354	13	302	140	4294	16	american
355	15	302	130	4295	15	american
356	14	440	215	4312	9	american
357	16	400	190	4325	12	american
358	16	351	149	4335	15	american
359	15	429	198	4341	10	american
360	14	454	220	4354	9	american
361	17	350	155	4360	15	american
362	13	351	158	4363	13	american
363	10	307	200	4376	15	american
364	17	350	180	4380	12	american
365	11	318	210	4382	14	american
366	14	400	175	4385	12	american
367	13	400	190	4422	13	american
368	14	455	225	4425	10	american
369	15	350	145	4440	14	american
370	12	350	160	4456	14	american
371	14	318	150	4457	14	american
372	14	400	175	4464	12	american
373	13	400	150	4464	12	american
374	16	318	150	4498	15	american
375	12	350	180	4499	13	american
376	13	350	155	4502	14	american
377	10	360	215	4615	14	american
378	11	429	208	4633	11	american
379	14	302	140	4638	16	american
380	13	360	170	4654	13	american
381	14	351	148	4657	14	american
382	16	400	170	4668	12	american
383	13	350	150	4699	15	american
384	9	304	193	4732	19	american
385	13	440	215	4735	11	american
386	13	400	170	4746	12	american
387	12	400	167	4906	13	american
388	12	455	225	4951	11	american
389	12	429	198	4952	12	american
390	12	383	180	4955	12	american
391	11	400	150	4997	14	american
392	13	400	175	5140	12	american
